i,t,axis_pos,mapper_pos,estimator_pos,spi_raw,spi_errors,spi_status,axis_pos_d,mapper_pos_d,estimator_pos_d,spi_raw_d,dt
1259,15.247912100981921,0.05776715278625488,0.05771529674530029,0.9971888661384583,0.99700927734375,0,0,0.00016576051712036133,0.0001341104507446289,0.00010567903518676758,0.0,0.012087276903912425
1260,15.260164507199079,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-0.00027191638946533203,-0.0002200603485107422,-0.00017946958541870117,0.0,0.01225240621715784
1261,15.272435727994889,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.1920928955078125e-07,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.012271220795810223
1262,15.284534115111455,0.05750715732574463,0.05750429630279541,0.9970162510871887,0.99700927734375,0,0,1.2040138244628906e-05,9.179115295410156e-06,6.973743438720703e-06,0.0,0.0120983871165663
1263,15.296691392082721,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-1.1920928955078125e-05,-9.059906005859375e-06,-6.854534149169922e-06,0.0,0.012157276971265674
1264,15.30887822411023,0.05750429630279541,0.05750209093093872,0.9970145225524902,0.99700927734375,0,0,9.059906005859375e-06,6.854534149169922e-06,5.125999450683594e-06,0.0,0.012186832027509809
1265,15.321311944164336,0.05749523639678955,0.05749523639678955,0.99700927734375,0.99700927734375,0,0,-9.059906005859375e-06,-6.854534149169922e-06,-5.245208740234375e-06,0.0,0.012433720054104924
1266,15.334702844033018,0.0574951171875,0.0574951171875,0.99700927734375,0.99700927734375,0,0,-1.1920928955078125e-07,-1.1920928955078125e-07,0.0,0.0,0.013390899868682027
1267,15.34684474999085,0.05766052007675171,0.05765247344970703,0.9971537590026855,0.99700927734375,0,0,0.00016540288925170898,0.00015735626220703125,0.00014448165893554688,0.0,0.012141905957832932
1268,15.359003916149959,0.05750948190689087,0.05750608444213867,0.9970176815986633,0.99700927734375,0,0,-0.00015103816986083984,-0.00014638900756835938,-0.0001360774040222168,0.0,0.012159166159108281
1269,15.371151840081438,0.05749523639678955,0.05749523639678955,0.9970093965530396,0.99700927734375,0,0,-1.424551010131836e-05,-1.0848045349121094e-05,-8.285045623779297e-06,0.0,0.012147923931479454
